species,decimalLongitude,decimalLatitude
Anabaena,20.358,63.6965
Anabaena,21.673,65.41617
Anabaena,21.7265,65.39967
Anabaena,21.68017,65.38883
Anabaena,21.6505,65.30133
Anabaena,21.6695,65.29383
Anabaena,21.54033,65.38767
Anabaena,21.55717,65.38467
Anabaena,21.52133,65.3295
Anabaena,21.54483,65.34433
Anabaena,21.49583,65.3555
Anabaena,21.48383,65.355
Anabaena,10.01396,63.40607
Anabaena,22.44633,65.73033
Anabaena,22.44667,65.7295
Anabaena,21.56683,65.41367
Anabaena,22.27617,65.69183
Anabaena,21.69883,65.39833
Anabaena,21.647,65.324
Anabaena,21.533,65.38967
Anabaena,21.5045,65.32583
Anabaena,21.48133,65.35067
Anabaena,21.06417,64.835
Anabaena,22.80517,65.80483
Anabaena,23.9195,65.744
Anabaena,18.34277,59.21287
Anabaena,19.09438,59.74777
Anabaena,18.47713,60.2155
Anabaena,18.27478,60.35582
Anabaena,19.818,63.49933
Anabaena,22.37517,65.80767
Anabaena,22.44617,65.72983
Anabaena,19.4985,63.53717
Anabaena,20.27433,63.6605
Anabaena,23.67133,65.77933
Anabaena,21.18817,64.69167
Anabaena,17.68742,59.11788
Anabaena,22.673,65.8885
Anabaena,22.37483,65.80767
Anabaena,20.4205,63.73817
Anabaena,21.27583,64.617
Anabaena,21.25267,64.30633
Anabaena,21.0875,64.20767
Anabaena,19.82,63.49933
Anabaena,22.37517,65.8075
Anabaena,22.447,65.73
Anabaena,11.1033,58.8683
Anabaena,22.44683,65.72983
Anabaena,17.66477,62.43612
Anabaena,22.44733,65.73033
Anabaena,21.99667,65.48667
Anabaena,22.44067,65.48417
Anabaena,22.16833,65.5665
Anabaena,18.2635,62.864
Anabaena,19.8195,63.49967
Anabaena,22.44717,65.73033
Anabaena,17.6407,62.44053
Anabaena,20.44517,63.7335
Anabaena,19.81833,63.4995
Anabaena,22.37583,65.808
Anabaena,22.44633,65.72967
Anabaena,22.375,65.80683
Anabaena,18.26233,62.8635
Anabaena,22.37583,65.80683
Anabaena,18.26433,62.8635
Anabaena,22.44817,65.73
Anabaena,19.81917,63.5005
Anabaena,22.37483,65.80717
Anabaena,22.57233,65.63683
Anabaena,19.80667,63.52483
