taxa,species,Lon,Lat,bio1,bio8,bio9,bio18,altitude
Cyanobacteria,Anabaena,18.95156,59.77823,5.7,14.5,-0.3,155,22
Cyanobacteria,Anabaena,18.26383,62.863,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,22.44667,65.73,1.4,12.6,-6.3,146,1
Cyanobacteria,Anabaena,19.81967,63.49883,3,13.3,-3.8,171,2
Cyanobacteria,Anabaena,18.43413,62.9496,3.2,13.4,-3.4,183,46
Cyanobacteria,Anabaena,22.4465,65.72967,1.4,12.6,-6.3,146,1
Cyanobacteria,Anabaena,18.75983,63.22233,3.1,13.4,-3.6,179,25
Cyanobacteria,Anabaena,18.71267,63.231,3.1,13.4,-3.6,182,34
Cyanobacteria,Anabaena,17.70367,62.99317,3,12.8,-3.4,189,92
Cyanobacteria,Anabaena,18.8795,63.26983,3,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.56283,63.09017,3.2,13.3,-3.5,182,38
Cyanobacteria,Anabaena,18.03633,62.82367,3.7,13.6,-2.9,183,15
Cyanobacteria,Anabaena,18.329,62.87117,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,18.7405,63.234,3.1,13.4,-3.6,182,34
Cyanobacteria,Anabaena,18.709,63.21183,3.1,13.4,-3.6,182,34
Cyanobacteria,Anabaena,17.723,62.987,3,12.8,-3.4,189,92
Cyanobacteria,Anabaena,18.85833,63.28283,3,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.5855,63.099,3.2,13.4,-3.4,179,16
Cyanobacteria,Anabaena,18.027,62.81867,3.7,13.6,-2.9,183,15
Cyanobacteria,Anabaena,18.0235,62.84067,3.4,13.3,-3.2,186,48
Cyanobacteria,Anabaena,18.33067,62.87283,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,10.2747,56.062,7.8,8.7,2.5,168,6
Cyanobacteria,Anabaena,18.2615,62.864,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,22.37483,65.8075,1.2,12.4,-6.4,146,11
Cyanobacteria,Anabaena,22.44717,65.73017,1.4,12.6,-6.3,146,1
Cyanobacteria,Anabaena,18.44667,63.039,3.2,13.3,-3.5,183,49
Cyanobacteria,Anabaena,18.61483,63.1725,2.7,12.9,-4,186,108
Cyanobacteria,Anabaena,19.02881,59.78752,5.7,14.4,-0.2,152,14
Cyanobacteria,Anabaena,18.75583,63.2285,3.1,13.4,-3.6,179,25
Cyanobacteria,Anabaena,18.70817,63.22617,3.1,13.4,-3.6,182,34
Cyanobacteria,Anabaena,17.699,62.99733,3,12.8,-3.4,189,92
Cyanobacteria,Anabaena,18.86133,63.28017,3,13.3,-3.7,179,33
Cyanobacteria,Anabaena,18.05433,62.832,3.7,13.6,-2.9,183,15
Cyanobacteria,Anabaena,18.00033,62.83517,3.4,13.3,-3.2,186,48
Cyanobacteria,Anabaena,18.326,62.87017,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,19.80817,63.52517,2.9,13.3,-4,171,16
Cyanobacteria,Anabaena,22.375,65.8075,1.2,12.4,-6.4,146,11
Cyanobacteria,Anabaena,18.26367,62.86367,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,18.264,62.864,3.3,13.5,-3.3,184,48
Cyanobacteria,Anabaena,22.4465,65.72983,1.4,12.6,-6.3,146,1
Cyanobacteria,Anabaena,18.48382,60.17682,5.5,14.4,-0.6,172,19
Cyanobacteria,Anabaena,19.80867,63.52517,2.9,13.3,-4,171,16
Cyanobacteria,Anabaena,18.57657,60.10985,5.6,14.5,-0.5,169,20
Cyanobacteria,Anabaena,22.37417,65.80667,1.2,12.4,-6.4,146,11
Cyanobacteria,Anabaena,18.432,63.035,3.2,13.3,-3.5,183,49
Cyanobacteria,Anabaena,16.56367,58.44867,6.8,15,0.9,173,32
Cyanobacteria,Anabaena,22.44683,65.73,1.4,12.6,-6.3,146,1
Cyanobacteria,Anabaena,16.38633,58.64067,6.8,15,0.9,176,9
