taxa,species,decimalLongitude,decimalLatitude,presence
Cyanobacteria,Dolichospermum ,18.7405,63.234,1
Cyanobacteria,Dolichospermum ,18.709,63.21183,1
Cyanobacteria,Dolichospermum ,17.723,62.987,1
Cyanobacteria,Dolichospermum ,18.85833,63.28283,1
Cyanobacteria,Dolichospermum ,18.5855,63.099,1
Cyanobacteria,Dolichospermum ,18.027,62.81867,1
Cyanobacteria,Dolichospermum ,18.0235,62.84067,1
Cyanobacteria,Dolichospermum ,18.33067,62.87283,1
Cyanobacteria,Dolichospermum ,10.2747,56.062,1
Cyanobacteria,Dolichospermum ,18.2615,62.864,1
Cyanobacteria,Dolichospermum ,22.37483,65.8075,1
Cyanobacteria,Dolichospermum ,22.44717,65.73017,1
Cyanobacteria,Dolichospermum ,18.44667,63.039,1
Cyanobacteria,Dolichospermum ,18.61483,63.1725,1
Cyanobacteria,Dolichospermum ,19.02881,59.78752,1
Cyanobacteria,Dolichospermum ,18.75583,63.2285,1
Cyanobacteria,Dolichospermum ,18.70817,63.22617,1
Cyanobacteria,Dolichospermum ,17.699,62.99733,1
Cyanobacteria,Dolichospermum ,18.86133,63.28017,1
Cyanobacteria,Dolichospermum ,18.05433,62.832,1
Cyanobacteria,Dolichospermum ,18.00033,62.83517,1
Cyanobacteria,Dolichospermum ,18.326,62.87017,1
Cyanobacteria,Dolichospermum ,19.80817,63.52517,1
Cyanobacteria,Dolichospermum ,22.375,65.8075,1
Cyanobacteria,Dolichospermum ,18.26367,62.86367,1
Cyanobacteria,Dolichospermum ,18.264,62.864,1
Cyanobacteria,Dolichospermum ,22.4465,65.72983,1
Cyanobacteria,Dolichospermum ,18.48382,60.17682,1
Cyanobacteria,Dolichospermum ,19.80867,63.52517,1
Cyanobacteria,Dolichospermum ,18.57657,60.10985,1
Cyanobacteria,Dolichospermum ,22.37417,65.80667,1
Cyanobacteria,Dolichospermum ,18.432,63.035,1
Cyanobacteria,Dolichospermum ,16.56367,58.44867,1
Cyanobacteria,Dolichospermum ,22.44683,65.73,1
Cyanobacteria,Dolichospermum ,16.38633,58.64067,1
Cyanobacteria,Dolichospermum ,19.92334,63.61536,1
Cyanobacteria,Dolichospermum ,19.92145,63.61183,1
Cyanobacteria,Dolichospermum ,22.27768,65.63102,1
Cyanobacteria,Dolichospermum ,22.27467,65.63079,1
Cyanobacteria,Dolichospermum ,22.11444,65.51672,1
Cyanobacteria,Dolichospermum ,20.43181,63.71095,1
Cyanobacteria,Dolichospermum ,20.42726,63.70906,1
Cyanobacteria,Dolichospermum ,21.03525,64.85757,1
Cyanobacteria,Dolichospermum ,20.69044,63.84903,1
Cyanobacteria,Dolichospermum ,20.70346,63.83087,1
Cyanobacteria,Dolichospermum ,21.97644,65.47475,1
Cyanobacteria,Dolichospermum ,22.04361,65.48991,1
Cyanobacteria,Dolichospermum ,22.25156,65.66445,1
Cyanobacteria,Dolichospermum ,20.39906,63.6908,1
Cyanobacteria,Dolichospermum ,20.39906,63.68799,1
Cyanobacteria,Dolichospermum ,22.446,65.73017,1
Cyanobacteria,Dolichospermum ,22.37533,65.80767,1
Cyanobacteria,Dolichospermum ,22.27341,65.62811,1
Cyanobacteria,Dolichospermum ,21.94304,65.5159,1
Cyanobacteria,Dolichospermum ,20.42767,63.71148,1
Cyanobacteria,Dolichospermum ,20.69433,63.84746,1
Cyanobacteria,Dolichospermum ,22.23952,65.66597,1
Cyanobacteria,Dolichospermum ,20.40458,63.68592,1
Cyanobacteria,Dolichospermum ,19.8185,63.5,1
Cyanobacteria,Dolichospermum ,22.44617,65.73017,1
Cyanobacteria,Dolichospermum ,22.448,65.73017,1
Cyanobacteria,Dolichospermum ,19.80833,63.52533,1
Cyanobacteria,Dolichospermum ,11.76167,57.98967,1
Cyanobacteria,Dolichospermum ,19.808,63.52467,1
Cyanobacteria,Dolichospermum ,22.44683,65.73017,1
Cyanobacteria,Dolichospermum ,19.17,63.29833,1
Cyanobacteria,Dolichospermum ,19.1375,63.2975,1
Cyanobacteria,Dolichospermum ,19.18167,63.3125,1
Cyanobacteria,Dolichospermum ,19.17797,63.31266,1
Cyanobacteria,Dolichospermum ,19.13652,63.29612,1
Cyanobacteria,Dolichospermum ,19.16534,63.29508,1
Cyanobacteria,Dolichospermum ,22.37617,65.80767,1
Cyanobacteria,Dolichospermum ,16.40717,58.60015,1
Cyanobacteria,Dolichospermum ,12.77883,56.48467,1
Cyanobacteria,Dolichospermum ,22.30867,65.6695,1
