taxa,species,decimalLongitude,decimalLatitude,bathymetry,biogeo13mean,biogeo15tmax,parmax,salinityrange,nitratemean,nitraterange,phosphaterange,phosphateltmin,ppmean,ppmin,bio8,bio9,bio18,alt
Cyanobacteria,Nodularia spumigena,19.81917,63.49967,-10,5.84,16.02,47.87400055,1.58,1.08,2.47,0.2,0.001,0.005,0.001,13.3,-3.8,171,2
Cyanobacteria,Nodularia spumigena,18.6734,59.37828,-5,7.71,17.59,45.74700165,1.188,0.041,0.465,0.342,0.142,0.001,0,15.1,4.8,153,12
Cyanobacteria,Nodularia spumigena,18.38358,59.26851,-4,7.38,17.07,47.0019989,1.132,0.045,0.464,0.339,0.148,0.001,0,15.4,0.7,162,30
Cyanobacteria,Nodularia spumigena,18.2635,62.86367,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.34321,59.36615,-2,7.32,17.35,47.54199982,1.161,0.037,0.434,0.333,0.145,0.001,0,15.4,0.7,163,22
Cyanobacteria,Nodularia spumigena,18.39062,59.43943,-9,7.46,17.19,45.49300003,1.149,0.037,0.433,0.333,0.143,0.001,0,15.2,0.5,166,33
Cyanobacteria,Nodularia spumigena,18.26433,62.86317,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.50733,63.06567,-27,6.24,16.34,47.13299942,1.241,0.507,1.83,0.207,0.008,0.003,0.001,13.5,-3.4,180,19
Cyanobacteria,Nodularia spumigena,18.87417,63.26733,-4,5.66,17.45,46.75999832,1.334,0.579,2.017,0.207,0.006,0.003,0.001,13.3,-3.7,179,33
Cyanobacteria,Nodularia spumigena,18.86383,63.28317,-4,5.66,17.45,46.75999832,1.334,0.579,2.017,0.207,0.006,0.003,0.001,13.3,-3.7,179,33
Cyanobacteria,Nodularia spumigena,18.33283,62.87683,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,18.68117,63.233,-12,5.35,17.39,46.52000046,1.309,0.542,1.936,0.207,0.007,0.003,0.001,13.4,-3.6,182,34
Cyanobacteria,Nodularia spumigena,19.809,63.52467,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,18.31974,59.29523,-12,7.29,17.12,47.0019989,1.129,0.046,0.466,0.34,0.149,0.002,0,15.5,0.8,165,23
Cyanobacteria,Nodularia spumigena,25.3,60.25,-2,7.23,17.98,48.10100174,2.717,11.636,11.916,0.211,0,0.006,0.002,10.4,-1.9,194,16
Cyanobacteria,Nodularia spumigena,18.42203,62.95872,-18,5.85,15.94,50.47999954,1.191,0.492,1.764,0.208,0.009,0.003,0.001,13.4,-3.4,183,46
Cyanobacteria,Nodularia spumigena,18.58133,63.11483,-16,6.11,16.45,46.68899918,1.287,0.511,1.848,0.207,0.008,0.003,0.001,13.3,-3.5,182,38
Cyanobacteria,Nodularia spumigena,18.571,63.06583,-27,6.24,16.34,47.13299942,1.241,0.507,1.83,0.207,0.008,0.003,0.001,13.5,-3.4,180,19
Cyanobacteria,Nodularia spumigena,18.37725,59.32534,-4,7.38,17.07,47.0019989,1.132,0.045,0.464,0.339,0.148,0.001,0,15.4,0.7,162,30
Cyanobacteria,Nodularia spumigena,19.81883,63.49967,-10,5.84,16.02,47.87400055,1.58,1.08,2.47,0.2,0.001,0.005,0.001,13.3,-3.8,171,2
Cyanobacteria,Nodularia spumigena,18.4104,62.95703,-25,5.67,16.19,50.47999954,1.18,0.491,1.759,0.208,0.009,0.003,0.001,13.2,-3.6,185,81
Cyanobacteria,Nodularia spumigena,18.51235,62.94962,-46,6.39,16.42,48.17499924,1.193,0.494,1.784,0.208,0.009,0.003,0.001,13.6,-3.2,179,6
Cyanobacteria,Nodularia spumigena,18.51717,63.0675,-27,6.24,16.34,47.13299942,1.241,0.507,1.83,0.207,0.008,0.003,0.001,13.5,-3.4,180,19
Cyanobacteria,Nodularia spumigena,18.479,63.0265,-31,5.64,16.23,47.13299942,1.22,0.507,1.827,0.207,0.008,0.003,0.001,13.3,-3.5,183,49
Cyanobacteria,Nodularia spumigena,18.41625,62.97395,-25,5.67,16.19,50.47999954,1.18,0.491,1.759,0.208,0.009,0.003,0.001,13.2,-3.6,185,81
Cyanobacteria,Nodularia spumigena,18.57533,63.0055,-27,6.24,16.34,47.13299942,1.241,0.507,1.83,0.207,0.008,0.003,0.001,13.5,-3.4,180,19
Cyanobacteria,Nodularia spumigena,18.41863,62.96407,-18,5.85,15.94,50.47999954,1.191,0.492,1.764,0.208,0.009,0.003,0.001,13.4,-3.4,183,46
Cyanobacteria,Nodularia spumigena,16.56369,58.44863,-2,6.88,18.3,45.32400131,1.27,0.197,0.875,0.374,0.19,0.005,0.002,15,0.9,173,32
Cyanobacteria,Nodularia spumigena,11.5933,57.9197,-2,9.68,20.08,46.43299866,15.229,0.807,2.499,0.256,0.058,0.018,0.004,12.4,1.4,196,33
Cyanobacteria,Nodularia spumigena,19.8085,63.525,-8,5.91,16.63,47.5320015,1.596,1.209,2.506,0.2,0.001,0.006,0.001,13.3,-4,171,16
Cyanobacteria,Nodularia spumigena,16.67167,57.99967,-2,7.3,18.23,46.59899902,1.145,0.168,0.832,0.356,0.217,0.004,0.002,15.3,1.3,159,18
Cyanobacteria,Nodularia spumigena,18.42883,63.012,-31,5.64,16.23,47.13299942,1.22,0.507,1.827,0.207,0.008,0.003,0.001,13.3,-3.5,183,49
Cyanobacteria,Nodularia spumigena,18.72433,63.10883,-42,6.36,16.33,47.53099823,1.293,0.522,1.885,0.206,0.008,0.003,0.001,13.5,-3.4,178,1
Cyanobacteria,Nodularia spumigena,18.64533,63.12933,-31,6.22,16.1,47.53099823,1.29,0.519,1.879,0.207,0.008,0.003,0.001,13.4,-3.4,179,16
Cyanobacteria,Nodularia spumigena,18.64783,63.17067,-8,5.48,15.14,48.79999924,1.305,0.541,1.931,0.207,0.007,0.003,0.001,12.9,-4,186,108
Cyanobacteria,Nodularia spumigena,16.73017,58.38933,-6,7.54,17.57,49.53499985,1.264,0.2,0.894,0.373,0.193,0.005,0.002,15.1,1.1,167,17
Cyanobacteria,Nodularia spumigena,11.7733,58.3125,-9,9.01,19.06,46.09400177,13.89,0.591,2.282,0.254,0.055,0.012,0.003,8.1,1.4,204,24
Cyanobacteria,Nodularia spumigena,16.75339,57.99857,-9,7.81,18.35,46.59899902,1.142,0.169,0.835,0.356,0.216,0.004,0.002,15.3,1.4,156,12
Cyanobacteria,Nodularia spumigena,19.819,63.49967,-10,5.84,16.02,47.87400055,1.58,1.08,2.47,0.2,0.001,0.005,0.001,13.3,-3.8,171,2
Cyanobacteria,Nodularia spumigena,18.26383,62.86367,-35,6.08,17.33,48.19200134,1.146,0.488,1.716,0.209,0.009,0.003,0.001,13.5,-3.3,184,48
Cyanobacteria,Nodularia spumigena,12.51667,56.21667,-6,9.77,18.85,47.36100006,11.685,0.203,0.684,0.168,0.125,0.009,0.004,15.5,2.1,201,8
